price,Area,bathroom,bedroom,location
PKR55 Lakh,5 Marla,2,2,"Raiwind Road, Lahore, Punjab"
PKR19.75 Crore,1 Kanal,7,5,"DHA Defence, Lahore, Punjab"
PKR15 Crore,1 Kanal,7,5,"DHA Defence, Lahore, Punjab"
PKR6.5 Crore,12 Marla,6,6,"BOR - Board of Revenue Housing Society, Lahore, Punjab"
PKR8 Crore,1 Kanal,6,5,"DHA Defence, Lahore, Punjab"
PKR6.95 Crore,1 Kanal,6,5,"DHA Defence, Lahore, Punjab"
PKR6.8 Crore,1 Kanal,6,5,"DHA Defence, Lahore, Punjab"
PKR10.5 Crore,1 Kanal,6,5,"DHA Defence, Lahore, Punjab"
PKR9 Crore,1 Kanal,6,5,"DHA Defence, Lahore, Punjab"
PKR6.1 Crore,10 Marla,6,6,"DHA Defence, Lahore, Punjab"
PKR5.5 Crore,1 Kanal,7,7,"Nawab Town, Lahore, Punjab"
PKR7.1 Crore,10 Marla,5,4,"DHA Defence, Lahore, Punjab"
PKR7.9 Crore,1 Kanal,5,4,"DHA Defence, Lahore, Punjab"
PKR4.95 Crore,14 Marla,5,5,"DHA Defence, Lahore, Punjab"
PKR14.99 Crore,1 Kanal,6,5,"DHA Defence, Lahore, Punjab"
PKR6.65 Crore,1 Kanal,6,5,"DHA Defence, Lahore, Punjab"
PKR75 Lakh,2 Marla,2,2,"Qadri Colony, Lahore, Punjab"
PKR5 Crore,10 Marla,5,4,"DHA Defence, Lahore, Punjab"
PKR10 Crore,1 Kanal,6,5,"DHA Defence, Lahore, Punjab"
PKR2.25 Crore,5 Marla,5,4,"Park View City, Lahore, Punjab"
PKR2.25 Crore,5 Marla,5,4,"Park View City, Lahore, Punjab"
PKR11 Crore,1 Kanal,6,5,"DHA Defence, Lahore, Punjab"
PKR8.25 Crore,1 Kanal,6,5,"DHA Defence, Lahore, Punjab"
PKR13.5 Crore,1 Kanal,6,5,"DHA Defence, Lahore, Punjab"
